tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls
468467189226279000,,,2014-05-19 19:04:16 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 whole wheat bread toasts + margarine + 2 campari tomatoes + salt + pepper http://t.co/bkW0Vaws1L,,,,https://twitter.com/mizhnev/status/468467189226278912/photo/1
468467918619955000,,,2014-05-19 19:07:10 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee + half&amp;half http://t.co/Mg1u8a8QtA,,,,https://twitter.com/mizhnev/status/468467918619955202/photo/1
468473495085519000,,,2014-05-19 19:29:19 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a gala apple (160 g) http://t.co/wavvyv01JC,,,,https://twitter.com/mizhnev/status/468473495085518849/photo/1
468479648410530000,,,2014-05-19 19:53:46 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee http://t.co/2trpx4tD6y,,,,https://twitter.com/mizhnev/status/468479648410529792/photo/1
468516122887594000,,,2014-05-19 22:18:42 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a handful of almonds http://t.co/Z6uhV90J0F,,,,https://twitter.com/mizhnev/status/468516122887593985/photo/1
468517547017384000,,,2014-05-19 22:24:22 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee + half&amp;half http://t.co/PtvYvx6SSc,,,,https://twitter.com/mizhnev/status/468517547017383936/photo/1
468560432349725000,,,2014-05-20 01:14:47 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0% vanilla greek yogurt (~250 g) + cocoa powder (11 g) + no-sugar-added raspberry jam (40 g) + almonds (20 g) + seed blend (42 g) http://t.co/bnOq3agV6T,,,,https://twitter.com/mizhnev/status/468560432349724673/photo/1
468574169727119000,,,2014-05-20 02:09:22 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4.5 kale stems + 2 campari tomatoes + 2 garlic cloves + evoo + balsamic + salt + pepper + 2 sprouted-flax toasts + margarine http://t.co/Gd97jwVTW3,,,,https://twitter.com/mizhnev/status/468574169727119360/photo/1
468577337781416000,,,2014-05-20 02:21:57 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a chocolate mint http://t.co/Tl5KePtHnS,,,,https://twitter.com/mizhnev/status/468577337781415936/photo/1
468621243860521000,,,2014-05-20 05:16:25 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4 squares of caramel and sea salt dark chocolate http://t.co/nOTxJv2Gl6,,,,https://twitter.com/mizhnev/status/468621243860520962/photo/1
468646906562748000,,,2014-05-20 06:58:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fried peanut butter and banana sandwich: 2 sprouted-grain breads + margarine + peanut butter + banana + cinnamon http://t.co/QnYJS6OPbA,,,,https://twitter.com/mizhnev/status/468646906562748416/photo/1
468659946771317000,,,2014-05-20 07:50:13 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",orange juice http://t.co/RhwJjb4QYN,,,,https://twitter.com/mizhnev/status/468659946771316736/photo/1
468660746206077000,,,2014-05-20 07:53:23 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",banana http://t.co/Vfj5l9L2PP,,,,https://twitter.com/mizhnev/status/468660746206076928/photo/1
468803354777248000,,,2014-05-20 17:20:04 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",orange juice http://t.co/ww7rTNAu7u,,,,https://twitter.com/mizhnev/status/468803354777247744/photo/1
468841195880587000,,,2014-05-20 19:50:26 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee + half&amp;half http://t.co/kzzTOLD0QG,,,,https://twitter.com/mizhnev/status/468841195880587264/photo/1
468841517331665000,,,2014-05-20 19:51:43 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 sprouted-grain bread toasts + no-additive smooth peanut butter + no-sugar-added raspberry jam http://t.co/HovQuSS9kL,,,,https://twitter.com/mizhnev/status/468841517331664896/photo/1
468852503837430000,,,2014-05-20 20:35:22 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee http://t.co/LKBy8YiW31,,,,https://twitter.com/mizhnev/status/468852503837429760/photo/1
468894184615973000,,,2014-05-20 23:20:59 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a gala apple (148 g, slightly mushy) http://t.co/spBmLiBK82",,,,https://twitter.com/mizhnev/status/468894184615972864/photo/1
468896276831293000,,,2014-05-20 23:29:18 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3 squares caramel and sea salt dark chocolate http://t.co/zZwTbNvjFS,,,,https://twitter.com/mizhnev/status/468896276831293442/photo/1
468948691978846000,,,2014-05-21 02:57:35 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",earl grey tea http://t.co/AUz8eGKAp9,,,,https://twitter.com/mizhnev/status/468948691978846208/photo/1
468976209959731000,,,2014-05-21 04:46:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 sprouted-flax bread toasts + margarine + 2 campari tomatoes + salt + pepper + sugar snap peas http://t.co/PLTz1MWsk0,,,,https://twitter.com/mizhnev/status/468976209959731200/photo/1
469012350616347000,,,2014-05-21 07:10:32 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1 square caramel and sea salt dark chocolate http://t.co/qjRKbKeaVM,,,,https://twitter.com/mizhnev/status/469012350616346624/photo/1
469035916359512000,,,2014-05-21 08:44:11 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 toasts + margarine + hummus + pepper + wine-marinated kalamata olives + wine-marinated garlic-stuffed manzanilla olives http://t.co/t2BwRDFC7d,,,,https://twitter.com/mizhnev/status/469035916359512064/photo/1
469038717785477000,,,2014-05-21 08:55:19 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a banana http://t.co/4DCiD7FsMW,,,,https://twitter.com/mizhnev/status/469038717785477120/photo/1
469169507726918000,,,2014-05-21 17:35:02 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a banana http://t.co/omXL11mv32,,,,https://twitter.com/mizhnev/status/469169507726917632/photo/1
469179530406412000,,,2014-05-21 18:14:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 sprouted-grain bread toasts + no-additive smooth peanut butter + no-sugar-added raspberry jam http://t.co/U2ybn9MPEP,,,,https://twitter.com/mizhnev/status/469179530406412288/photo/1
469179782425371000,,,2014-05-21 18:15:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee + half&amp;half http://t.co/FCcVOdSlCl,,,,https://twitter.com/mizhnev/status/469179782425370624/photo/1
469355861614133000,,,2014-05-21 23:55:32 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a hamburger-shaped mass of quinoa + vegetables + bread + cheese + also some carrot soup + a few french fries,,,,
469356752366862000,,,2014-05-22 00:59:04 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",an absurdly delightful number of unwashed strawberries,,,,
469356802790797000,,,2014-05-22 02:59:16 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a coffee + cream, an apricot-themed beer, and then another coffee + cream",,,,
469365680928616000,,,2014-05-22 06:34:33 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 sprouted-grain flax toasts + margarine + roasted garlic hummus + pepper + kalamata olives + manzanilla olives http://t.co/KOYdlmrSDT,,,,https://twitter.com/mizhnev/status/469365680928616448/photo/1
469368864489230000,,,2014-05-22 06:47:12 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2 squares caramel and sea salt dark chocolate that I accidentally dropped in olive juice http://t.co/gS4ZEh8zVg,,,,https://twitter.com/mizhnev/status/469368864489230336/photo/1
469567143181165000,,,2014-05-22 19:55:05 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee + half&amp;half http://t.co/dPI2YtZvpX,,,,https://twitter.com/mizhnev/status/469567143181164545/photo/1
